"species","TraitName","value"
"Juniperus virginiana","SLA",1.57808775925855
"Picea abies","SLA",3.787570986
"Ephedra sinica","SLA",3.973300635
"Juniperus scopulorum","SLA",4.02211153846154
"Pinus ponderosa","SLA",4.11191613787084
"Heteromeles arbutifolia","SLA",4.19598298447148
"Juncus inflexus","SLA",4.612
"Juncus longistylis","SLA",4.72663856674992
"Pseudotsuga menziesii","SLA",4.78458395096774
"Pinus nigra","SLA",4.98860579333333
"Rhododendron degronianum","SLA",5.033755595
"Quercus ilex","SLA",5.036130810972
"Ilex pernyi","SLA",5.57269279393173
"Ternstroemia gymnanthera","SLA",6.0726263013875
"Pinus sylvestris","SLA",6.20566529008973
"Equisetum variegatum","SLA",6.329113924
"Helianthus maximiliani","SLA",6.34920634920635
"Paxistima myrsinites","SLA",6.45177650126107
"Rhododendron yunnanense","SLA",6.63
"Typha angustifolia","SLA",6.97
"Prunus lusitanica","SLA",7.12029442901956
"Ilex aquifolium","SLA",7.12271724714783
"Picea sitchensis","SLA",7.15911769668972
"Echinacea purpurea","SLA",7.22
"Prunus laurocerasus","SLA",7.30915090994516
"Solidago missouriensis","SLA",7.33675715333822
"Veronica spicata","SLA",7.4
"Pyrus communis","SLA",7.407407407
"Taxus baccata","SLA",7.4859270678528
"Rhododendron ponticum","SLA",7.53136400486277
"Quercus virginiana","SLA",7.68293305904737
"Equisetum palustre","SLA",7.794
"Foeniculum vulgare","SLA",8.10322711507913
"Quercus lobata","SLA",8.280325
"Helianthus petiolaris","SLA",8.43618927
"Pinus flexilis","SLA",8.61
"Pinus armandii","SLA",8.77126160668793
"Plantago maritima","SLA",8.94
"Viburnum tinus","SLA",9.00438311127506
"Picea glauca","SLA",9.0233028408693
"Salix reticulata","SLA",9.05727148144402
"Kalmia angustifolia","SLA",9.12506313304299
"Rhododendron aureum","SLA",9.2077
"Empetrum nigrum","SLA",9.29457309977158
"Ilex crenata","SLA",9.42862530643032
"Salix purpurea","SLA",9.496676163
"Salix fragilis","SLA",9.6107107755
"Vaccinium oxycoccos","SLA",9.70537068825194
"Ulmus pumila","SLA",9.72579321252255
"Eriophorum angustifolium","SLA",9.73002524158572
"Ilex glabra","SLA",9.80323023329494
"Echinops ritro","SLA",9.85667535042801
"Salix exigua","SLA",9.99075
"Ratibida columnifera","SLA",10.000000002
"Ulex europaeus","SLA",10.0095792893645
"Grindelia squarrosa","SLA",10.01001001001
"Picea mariana","SLA",10.0521718054403
"Magnolia grandiflora","SLA",10.0878577462294
"Typha latifolia","SLA",10.0953732888866
"Symphyotrichum lanceolatum","SLA",10.1419878296146
"Rhododendron indicum","SLA",10.1633333333333
"Gaylussacia dumosa","SLA",10.2187021232592
"Salix lucida","SLA",10.22385
"Pinus resinosa","SLA",10.23
"Rosa rugosa","SLA",10.4209837955385
"Symphyotrichum ascendens","SLA",10.5058030534783
"Salvia officinalis","SLA",10.6
"Eriophorum vaginatum","SLA",10.7354222156
"Rhaphiolepis indica","SLA",10.75372039
"Quercus macranthera","SLA",10.8729627148917
"Sequoia sempervirens","SLA",11.018
"Populus alba","SLA",11.0850440254001
"Rosa glauca","SLA",11.0864745
"Juncus effusus","SLA",11.1453846153846
"Larix decidua","SLA",11.1815391684864
"Rosa rubiginosa","SLA",11.22
"Sporobolus heterolepis","SLA",11.3378684807256
"Salix triandra","SLA",11.3618678657143
"Lycium barbarum","SLA",11.4
"Puccinellia maritima","SLA",11.4
"Lithocarpus glaber","SLA",11.442891922
"Salix arctica","SLA",11.49425287
"Hedera helix","SLA",11.5088831914213
"Pedicularis bracteosa","SLA",11.5249883972127
"Populus nigra","SLA",11.5430338160922
"Helianthus annuus","SLA",11.5501154084962
"Myrica gale","SLA",11.56247444
"Scirpus atrocinctus","SLA",11.5752339118898
"Sedum acre","SLA",11.6047619047619
"Sagina nodosa","SLA",11.65
"Salix alba","SLA",11.6560028857143
"Sporobolus cryptandrus","SLA",11.6959064327485
"Symphyotrichum ericoides","SLA",11.7647058823529
"Pinus contorta","SLA",11.78
"Juniperus communis","SLA",11.7966899508663
"Glyceria fluitans","SLA",37.2783993313451
"Digitaria sanguinalis","SLA",37.2857142857143
"Veronica persica","SLA",37.4527951819977
"Holcus lanatus","SLA",37.7213745924165
"Euphorbia peplus","SLA",37.75
"Fraxinus americana","SLA",37.77025490059
"Glyceria grandis","SLA",37.85
"Trifolium aureum","SLA",37.997
"Lysimachia thyrsiflora","SLA",38
"Tanacetum parthenium","SLA",38.058024691358
"Impatiens glandulifera","SLA",38.3
"Lamium purpureum","SLA",38.45
"Viola canadensis","SLA",38.6516054680909
"Heracleum mantegazzianum","SLA",38.8
"Myrrhis odorata","SLA",39.225
"Poa annua","SLA",39.2498625154071
"Pilea pumila","SLA",39.5256916996047
"Smyrnium olusatrum","SLA",39.6
"Sonchus oleraceus","SLA",39.6500105070475
"Elodea canadensis","SLA",39.7261842105263
"Silene gallica","SLA",39.8
"Rorippa sylvestris","SLA",39.95
"Vaccinium angustifolium","SLA",40
"Sonchus asper","SLA",40.0028459004789
"Rubus occidentalis","SLA",40.382555569
"Mentha arvensis","SLA",40.9828011204482
"Sarracenia purpurea","SLA",41
"Scutellaria galericulata","SLA",41.0322222222222
"Epilobium ciliatum","SLA",41.3181818181818
"Galinsoga parviflora","SLA",41.324
"Fagus grandifolia","SLA",41.5129420278283
"Drosera rotundifolia","SLA",41.5598855941568
"Geranium sanguineum","SLA",41.7139253177277
"Hyoscyamus niger","SLA",42.2506214685714
"Leersia virginica","SLA",42.5531914893617
"Phegopteris connectilis","SLA",42.654
"Stachys palustris","SLA",43.4
"Poa nemoralis","SLA",44.0729493891797
"Nasturtium officinale","SLA",44.4592592592593
"Ostrya virginiana","SLA",44.5484655450877
"Hieracium murorum","SLA",44.734
"Rubus parviflorus","SLA",44.936
"Streptopus amplexifolius","SLA",47.658731823263
"Oenothera perennis","SLA",48.7
"Myosotis scorpioides","SLA",48.7053733090218
"Mercurialis annua","SLA",49.246
"Potamogeton berchtoldii","SLA",49.5
"Phryma leptostachya","SLA",50.2
"Rorippa palustris","SLA",51.1654545454545
"Lapsana communis","SLA",51.2846560846561
"Veronica scutellata","SLA",51.7
"Impatiens capensis","SLA",53.40375
"Stellaria media","SLA",53.6698607348869
"Galega officinalis","SLA",53.92
"Veronica agrestis","SLA",55.2
"Utricularia vulgaris","SLA",57.14
"Gymnocarpium dryopteris","SLA",57.8274954810504
"Potamogeton crispus","SLA",60.5666666666667
"Lycopus europaeus","SLA",63.076
"Oxalis acetosella","SLA",67.3413229356377
"Nasturtium microphyllum","SLA",72.1
"Impatiens pallida","SLA",80.7947609258718
"Impatiens parviflora","SLA",146.974
