species,AccSpeciesID
Abelia grandiflora,18
Abeliophyllum distichum,24
Abies amabilis,30
Abies balsamea,32
Abies bracteata,35
Abies concolor,39
Abies grandis,50
Abies lasiocarpa,56
Abies nordmanniana,62
Abies veitchii,75
Abietinella abietina,271116
Abutilon theophrasti,139
Acaena anserinifolia,676
Acalypha poiretii,271827
Acalypha virginica,750
Acer campestre,797
Acer capillipes,798
Acer cappadocicum,799
Acer carpinifolium,800
Acer circinatum,803
Acer cissifolium,805
Acer glabrum,818
Acer griseum,821
Acer macrophyllum,833
Acer negundo,841
Acer palmatum,849
Acer pensylvanicum,852
Acer pentaphyllum,73422
Acer platanoides,854
Acer pseudoplatanus,855
Acer pycnanthum,73429
Acer rubrum,859
Acer rufinerve,860
Acer saccharinum,861
Acer saccharum,863
Acer spicatum,869
Acer tataricum,873
Achillea alpina,891
Achillea filipendulina,906
Achillea millefolium,909
Achillea ptarmica,916
Achlys triphylla,928
Acmispon denticulatus,999
Aconitum lycoctonum,1027
Acorus calamus,1045
Acorus gramineus,73544
Actaea pachypoda,1131
Actaea racemosa,200831
Actaea rubra,1132
Adenocaulon bicolor,1254
Adiantum aleuticum,201154
Adiantum pedatum,1317
Adlumia fungosa,1359
Aegilops ventricosa,1412
Aegopodium podagraria,1439
Aesculus carnea,1567
Aesculus flava,1569
Aesculus glabra,1570
Aesculus hippocastanum,1571
Aethusa cynapium,1593
Afrocarpus falcatus,1599
Agalinis paupercula,65330
Agalinis tenuifolia,1627
Agastache foeniculum,1653
Agastache nepetoides,1654
Agastache rugosa,1656
Agathis australis,1662
Ageratina altissima,1723
Agoseris glauca,1805
Agrimonia eupatoria,1810
Agrimonia gryposepala,1811
Agrimonia pubescens,1816
Agrimonia striata,64197
Agropyron cristatum,1833
Agrostis canina,1904
Agrostis capillaris,1905
Agrostis exarata,1929
Agrostis gigantea,1937
Agrostis humilis,1956
Agrostis hyemalis,1957
Agrostis perennans,2027
Agrostis scabra,2050
Agrostis stolonifera,2065
Agrostis thurberiana,2078
Ailanthus altissima,2124
Aira caryophyllea,2143
Aira praecox,2147
Ajuga pyramidalis,2170
Ajuga reptans,2172
Albuca bracteata,201897
Alcea rosea,2292
Alchemilla conjuncta,2307
Alchemilla filicaulis,2321
Alchemilla mollis,2348
Alchemilla vulgaris,2389
Alisma gramineum,2471
Alisma lanceolatum,2472
Alisma plantago-aquatica,202078
Alisma subcordatum,64200
Alisma triviale,2476
Allamanda cathartica,2481
Alliaria petiolata,2496
Allium acuminatum,2501
Allium canadense,2514
Allium cernuum,2517
Allium moly,2542
Allium moschatum,74231
Allium schoenoprasum,2566
Allium stellatum,2575
Allium tricoccum,2582
Allium tuberosum,2584
Allium vineale,2590
Allotropa virgata,202235
Alnus alnobetula,2704
Alnus glutinosa,2710
Alnus hirsuta,2711
Alnus incana,2712
Alnus rubra,2726
Alopecurus aequalis,2833
Alopecurus carolinianus,2850
Alopecurus geniculatus,2854
Alopecurus pratensis,2872
Alsia californica,276993
Alyssum montanum,3055
Amaranthus albus,3099
Amaranthus blitoides,3103
Amaranthus blitum,3104
Amaranthus cruentus,3111
Amaranthus hybridus,3120
Amaranthus powellii,3131
Amaranthus retroflexus,3134
Amaranthus tuberculatus,3142
Amblyodon dealbatus,277299
Amblystegium serpens,277306
Ambrosia artemisiifolia,3157
Ambrosia camphorata,202564
Ambrosia psilostachya,3168
Ambrosia trifida,3170
Amelanchier alnifolia,3173
Amelanchier arborea,3174
Amelanchier bartramiana,3176
Amelanchier canadensis,3177
Amelanchier laevis,3183
Amelanchier lamarckii,3184
Amelanchier spicata,3192
Amelanchier stolonifera,74490
Ammophila breviligulata,3220
Amorpha fruticosa,3239
Amorpha nana,3240
Amphicarpaea bracteata,3289
Amphidium californicum,277805
Amphidium lapponicum,277806
Amsonia tabernaemontana,74652
Anacolia menziesii,277954
Ananas comosus,3427
Anaphalis margaritacea,3433
Anastrophyllum assimile,278024
Andreaea blyttii,278265
Andreaea heinemannii,278266
Andreaea megistospora,278267
Andreaea nivalis,278269
Andreaea rothii,278271
Andreaea rupestris,278274
Andromeda polifolia,3515
Andropogon gerardii,3565
Androsace septentrionalis,3652
Anemone cylindrica,3680
Anemone nemorosa,3691
Anemone quinquefolia,3699
Anemone virginiana,3711
Aneura pinguis,278603
Angelica atropurpurea,65562
Angelica sylvestris,3738
Anomodon attenuatus,279193
Antennaria howellii,203304
