"","AccSpeciesID","Genus","Species","ObsNum","ObsGRNum","MeasNum","MeasGRNum","TraitNum","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9"
"250000",372842,"Pterostylis","monticola","2","2","2","","","","","","","","","",NA,NA,NA
"250001",372843,"Pterostylis","multiflora","2","2","2","","","","","","","","","",NA,NA,NA
"250002",372844,"Pterostylis","mystacina","2","2","2","","","","","","","","","",NA,NA,NA
"250003",372845,"Pterostylis","nigricans","2","2","2","","","","","","","","","",NA,NA,NA
"250004",372846,"Pterostylis","oblonga","2","2","2","","","","","","","","","",NA,NA,NA
"250005",372847,"Pterostylis","oliveri","2","2","2","","","","","","","","","",NA,NA,NA
"250006",372848,"Pterostylis","ophioglossa","2","2","2","","","","","","","","","",NA,NA,NA
"250007",372849,"Pterostylis","ovata","2","2","2","","","","","","","","","",NA,NA,NA
"250008",372850,"Pterostylis","paludosa","2","2","2","","","","","","","","","",NA,NA,NA
"250009",372851,"Pterostylis","papuana","2","2","2","","","","","","","","","",NA,NA,NA
"250010",372852,"Pterostylis","parca","2","2","2","","","","","","","","","",NA,NA,NA
"250011",372853,"Pterostylis","patens","2","2","2","","","","","","","","","",NA,NA,NA
"250012",372854,"Pterostylis","pearsonii","2","2","2","","","","","","","","","",NA,NA,NA
"250013",372855,"Pterostylis","pedina","2","2","2","","","","","","","","","",NA,NA,NA
"250014",372856,"Pterostylis","petrosa","2","2","2","","","","","","","","","",NA,NA,NA
"250015",372857,"Pterostylis","planulata","2","2","2","","","","","","","","","",NA,NA,NA
"250016",372858,"Pterostylis","porrecta","2","2","2","","","","","","","","","",NA,NA,NA
"250017",372859,"Pterostylis","praetermissa","2","2","2","","","","","","","","","",NA,NA,NA
"250018",372860,"Pterostylis","prasina","2","2","2","","","","","","","","","",NA,NA,NA
"250019",372861,"Pterostylis","pratensis","2","2","2","","","","","","","","","",NA,NA,NA
"250020",372862,"Pterostylis","procera","2","2","2","","","","","","","","","",NA,NA,NA
"250021",372863,"Pterostylis","psammophilus","2","2","2","","","","","","","","","",NA,NA,NA
"250022",372864,"Pterostylis","puberula","2","2","2","","","","","","","","","",NA,NA,NA
"250023",372865,"Pterostylis","pulchella","2","2","2","","","","","","","","","",NA,NA,NA
"250024",372866,"Pterostylis","pusilla","2","2","2","","","","","","","","","",NA,NA,NA
"250025",372867,"Pterostylis","pyramidalis","2","2","2","","","","","","","","","",NA,NA,NA
"250026",372868,"Pterostylis","recurva","2","2","2","","","","","","","","","",NA,NA,NA
"250027",372869,"Pterostylis","reflexa","2","2","2","","","","","","","","","",NA,NA,NA
"250028",372870,"Pterostylis","revoluta","2","2","2","","","","","","","","","",NA,NA,NA
"250029",372871,"Pterostylis","riparia","2","2","2","","","","","","","","","",NA,NA,NA
"250030",372872,"Pterostylis","robusta","2","2","2","","","","","","","","","",NA,NA,NA
"250031",372873,"Pterostylis","roensis","2","2","2","","","","","","","","","",NA,NA,NA
"250032",372874,"Pterostylis","rogersii","2","2","2","","","","","","","","","",NA,NA,NA
"250033",372875,"Pterostylis","rubenachii","2","2","2","","","","","","","","","",NA,NA,NA
"250034",372876,"Pterostylis","rubescens","2","2","2","","","","","","","","","",NA,NA,NA
"250035",372877,"Pterostylis","rufa","2","2","2","","","","","","","","","",NA,NA,NA
"250036",372878,"Pterostylis","russellii","2","2","2","","","","","","","","","",NA,NA,NA
"250037",372879,"Pterostylis","sanguinea","2","2","2","","","","","","","","","",NA,NA,NA
"250038",372880,"Pterostylis","sargentii","3","4","4","","","","","","","","","",NA,NA,NA
"250039",372881,"Pterostylis","saxicola","2","2","2","","","","","","","","","",NA,NA,NA
"250040",372882,"Pterostylis","scabra","2","2","2","","","","","","","","","",NA,NA,NA
"250041",372883,"Pterostylis","scabrida","2","2","2","","","","","","","","","",NA,NA,NA
"250042",372884,"Pterostylis","scoliosa","2","2","2","","","","","","","","","",NA,NA,NA
"250043",372885,"Pterostylis","setifera","2","2","2","","","","","","","","","",NA,NA,NA
"250044",372886,"Pterostylis","silvicultrix","2","2","2","","","","","","","","","",NA,NA,NA
"250045",372887,"Pterostylis","sinuata","2","2","2","","","","","","","","","",NA,NA,NA
"250046",372888,"Pterostylis","smaragdyna","2","2","2","","","","","","","","","",NA,NA,NA
"250047",372889,"Pterostylis","spathulata","2","2","2","","","","","","","","","",NA,NA,NA
"250048",372890,"Pterostylis","spissa","2","2","2","","","","","","","","","",NA,NA,NA
"250049",372891,"Pterostylis","splendens","2","2","2","","","","","","","","","",NA,NA,NA
"250050",372892,"Pterostylis","squamata","2","2","2","","","","","","","","","",NA,NA,NA
"250051",372893,"Pterostylis","stenochila","2","2","2","","","","","","","","","",NA,NA,NA
"250052",372894,"Pterostylis","stenosepala","2","2","2","","","","","","","","","",NA,NA,NA
"250053",372895,"Pterostylis","stricta","2","2","2","","","","","","","","","",NA,NA,NA
