"quadrat","scientificName","count"
1,"×Crataegomespilus grandiflora (Sm.) Bean",8
1,"×Cupressocyparis leylandii (A.B.Jacks. & Dallim.) Dallim.",8
1,"×Tritisecale Lebedeff",8
1,"Abelia ×grandiflora (Rovelli ex André) Rehder",8
1,"Abeliophyllum distichum Nakai",8
1,"Abies amabilis Douglas ex J.Forbes",8
1,"Abies balsamea Mill.",102
1,"Abies bracteata (D.Don) Poit.",8
1,"Abies concolor (Gordon & Glend.) Hildebr.",2
1,"Abies concolor Lindl. & Gord.",16
1,"Abies grandis (Douglas ex D.Don) Lindl.",24
1,"Abies nordmanniana Spach",8
1,"Abies veitchii Lindl.",24
1,"Abietinella abietina Fleischer, 1923",2
1,"Abutilon theophrasti Medik.",8
1,"Acaena anserinifolia Druce",8
1,"Acalypha rhombifolia Baill.",2
1,"Acalypha rhomboidea Raf.",42
1,"Acalypha virginica L.",4
1,"Acer campestre L.",2
1,"Acer capillipes Maxim.",16
1,"Acer capillipes Maxim. ex Miq.",16
1,"Acer cappadocicum Gleditsch",8
1,"Acer carpinifolium Siebold & Zucc.",8
1,"Acer circinatum Pursh",264
1,"Acer cissifolium K.Koch",32
1,"Acer freemanii A.E.Murray",4
1,"Acer ginnala Maxim.",38
1,"Acer glabrum Torr.",8
1,"Acer griseum (Franch.) Pax",8
1,"Acer L.",18
1,"Acer macrophyllum Pursh",224
1,"Acer maximowiczianum Miq.",8
1,"Acer negundo L.",295
1,"Acer negundo var. interius (Britton) Sarg.",6
1,"Acer negundo var. negundo",2
1,"Acer negundo var. violaceum (Booth ex Loudon) G.Kirchn.",2
1,"Acer negundo var. violaceum (G.Kirchn.) H.Jäger",2
1,"Acer nigrum F.Michx.",12
1,"Acer nikoense (Miq.) Maxim.",8
1,"Acer opalus var. obtusatum (Waldst. & Kit. ex Willd.) Henry",8
1,"Acer palmatum C.P.Thunberg ex A.Murray",32
1,"Acer palmatum Thunb.",32
1,"Acer palmatum var. dissectum (Thunb.) Miq.",16
1,"Acer palmatum var. heptalobum Rehd.",16
1,"Acer palmatum var. palmatum",8
1,"Acer pensylvanicum L.",56
1,"Acer pentaphyllum Diels",8
1,"Acer platanoides L.",223
1,"Acer platanoides var. crispum Spach",8
1,"Acer pseudoplatanus L.",64
1,"Acer pseudoplatanus var. flava-variegatum Loudon",8
1,"Acer pseudoplatanus var. purpureum Loudon",24
1,"Acer pycnanthum C.Koch",8
1,"Acer rubrum L.",178
1,"Acer rufinerve Siebold & Zucc.",56
1,"Acer saccharinum L.",87
1,"Acer saccharum Marshall",94
1,"Acer spicatum Lam.",38
1,"Acer tataricum L.",16
1,"Acer tataricum subsp. ginnala (Maxim.) Wesmael",8
1,"Achillea alpina L.",7
1,"Achillea borealis var. borealis",4
1,"Achillea filipendulina Lam.",2
1,"Achillea millefolium L.",294
1,"Achillea millefolium subsp. borealis (Bong.) Breitung",8
1,"Achillea millefolium var. occidentalis DC.",2
1,"Achillea ptarmica L.",8
1,"Achillea sibirica Ledeb.",7
1,"Achlys triphylla (Sm.) DC.",16
1,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",10
1,"Aconitum lycoctonum L.",2
1,"Aconitum napellus L.",2
1,"Acorus americanus (Raf.) Raf.",2
1,"Acorus calamus L.",2
1,"Acorus gramineus Aiton",7
1,"Acrochaete viridis (Reinke) R.Nielsen",8
