"City","quadrat","species","count","TraitName","value"
"Edmonton",1,"Diplotaxis muralis",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",22.082
"Edmonton",1,"Diplotaxis muralis",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",20.838
"Edmonton",1,"Diplotaxis muralis",2,"Plant biomass and allometry: Seed number per plant",3696.22222222222
"Edmonton",1,"Diplotaxis muralis",2,"Plant height generative",0.305625
"Edmonton",1,"Diplotaxis muralis",2,"Plant height vegetative",0.225625
"Edmonton",1,"Doellingeria umbellata",12,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",13.8819434722829
"Edmonton",1,"Doellingeria umbellata",12,"Plant height vegetative",0.7594125
"Edmonton",1,"Draba nemorosa",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",18.3008203825
"Edmonton",1,"Draba nemorosa",1,"Leaf thickness",0.17416666675
"Edmonton",1,"Draba nemorosa",1,"Plant height vegetative",0.2
"Edmonton",1,"Drosera rotundifolia",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",41.5598855941568
"Edmonton",1,"Drosera rotundifolia",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",36.932
"Edmonton",1,"Drosera rotundifolia",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",44.0058220358198
"Edmonton",1,"Drosera rotundifolia",1,"Leaf petiole length",2.25
"Edmonton",1,"Drosera rotundifolia",1,"Leaf thickness",0.1875
"Edmonton",1,"Drosera rotundifolia",1,"Plant biomass and allometry: Seed number per plant",506
"Edmonton",1,"Drosera rotundifolia",1,"Plant height generative",0.135
"Edmonton",1,"Drosera rotundifolia",1,"Plant height vegetative",0.07475
"Edmonton",1,"Drosera rotundifolia",1,"Seed number per flower",84
"Edmonton",1,"Drosera rotundifolia",1,"Seed number per inflorescence (total, fertile, infertile)",93.5
"Edmonton",1,"Dryopteris carthusiana",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",24.1328571428571
"Edmonton",1,"Dryopteris carthusiana",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",40.7434314815
"Edmonton",1,"Dryopteris carthusiana",1,"Leaf petiole length",36
"Edmonton",1,"Dryopteris carthusiana",1,"Leaf thickness",0.1304
"Edmonton",1,"Dryopteris carthusiana",1,"Plant height generative",0.375
"Edmonton",1,"Dryopteris carthusiana",1,"Plant height vegetative",0.615625
"Edmonton",1,"Echinochloa crus-galli",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",28.182952426891
"Edmonton",1,"Echinochloa crus-galli",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",32.1803333333333
"Edmonton",1,"Echinochloa crus-galli",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",22.243351401
"Edmonton",1,"Echinochloa crus-galli",1,"Leaf thickness",0.206166666666666
"Edmonton",1,"Echinochloa crus-galli",1,"Plant biomass and allometry: Seed number per plant",4517.35
"Edmonton",1,"Echinochloa crus-galli",1,"Plant height generative",0.45
"Edmonton",1,"Echinochloa crus-galli",1,"Plant height vegetative",0.7033
"Edmonton",1,"Echinocystis lobata",1,"Plant height generative",3.5
"Edmonton",1,"Echinocystis lobata",1,"Plant height vegetative",4.5
"Edmonton",1,"Egeria densa",1,"Leaf petiole length",0
"Edmonton",1,"Egeria densa",1,"Plant biomass and allometry: Seed number per plant",0
"Edmonton",1,"Elaeagnus angustifolia",4,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",12.4069478908189
"Edmonton",1,"Elaeagnus angustifolia",4,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",13.9217452498286
"Edmonton",1,"Elaeagnus angustifolia",4,"Leaf petiole length",0.7
"Edmonton",1,"Elaeagnus angustifolia",4,"Leaf thickness",0.257
"Edmonton",1,"Elaeagnus angustifolia",4,"Plant height generative",7
"Edmonton",1,"Elaeagnus angustifolia",4,"Plant height vegetative",7.96788235294118
"Edmonton",1,"Elaeagnus angustifolia",4,"Stem diameter",1
"Edmonton",1,"Elaeagnus commutata",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.53905746
"Edmonton",1,"Elaeagnus commutata",1,"Leaf thickness",0.3
"Edmonton",1,"Elaeagnus commutata",1,"Plant height generative",2.75
"Edmonton",1,"Elaeagnus commutata",1,"Plant height vegetative",2.65126666666667
"Edmonton",1,"Eleocharis acicularis",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",76.892
"Edmonton",1,"Eleocharis acicularis",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",77.33
"Edmonton",1,"Eleocharis acicularis",1,"Plant height vegetative",0.0777777777777778
"Edmonton",1,"Eleocharis erythropoda",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",14.1522785168412
"Edmonton",1,"Eleocharis erythropoda",3,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",12.23686750656
"Edmonton",1,"Eleocharis palustris",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",13.5416905370959
"Edmonton",1,"Eleocharis palustris",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.1447543964125
"Edmonton",1,"Eleocharis palustris",1,"Plant height generative",0.455
"Edmonton",1,"Eleocharis palustris",1,"Plant height vegetative",0.460344444444444
"Edmonton",1,"Eleocharis palustris",1,"Seed number per flower",1
"Edmonton",1,"Eleocharis palustris",1,"Seed number per inflorescence (total, fertile, infertile)",1
"Edmonton",1,"Eleocharis uniglumis",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",14.372
"Edmonton",1,"Eleocharis uniglumis",1,"Plant height generative",0.225
"Edmonton",1,"Eleocharis uniglumis",1,"Plant height vegetative",0.319444444444444
"Edmonton",1,"Elymus canadensis",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",21.8795970100907
"Edmonton",1,"Elymus canadensis",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",17.9658147599706
"Edmonton",1,"Elymus canadensis",2,"Leaf thickness",0.148571428571429
"Edmonton",1,"Elymus canadensis",2,"Plant height vegetative",1.0995
"Edmonton",1,"Elymus canadensis",2,"Root/shoot ratio",0.545032880922889
"Edmonton",1,"Elymus repens",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",25.8354317075
"Edmonton",1,"Elymus repens",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",23.2081998859402
"Edmonton",1,"Elymus repens",2,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",23.4939429324091
"Edmonton",1,"Elymus repens",2,"Plant biomass and allometry: Seed number per plant",156.928571428571
"Edmonton",1,"Elymus repens",2,"Plant height generative",1.35
"Edmonton",1,"Elymus repens",2,"Plant height vegetative",0.801111111111111
"Edmonton",1,"Elymus repens",2,"Root/shoot ratio",2.08241758241758
"Edmonton",1,"Ephedra sinica",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",3.973300635
"Edmonton",1,"Ephedra sinica",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",3.97330063509777
"Edmonton",1,"Ephedra sinica",1,"Plant height vegetative",0.275
"Edmonton",1,"Epilobium angustifolium",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",18.0840648346869
"Edmonton",1,"Epilobium angustifolium",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",16.7793545979517
"Edmonton",1,"Epilobium angustifolium",1,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",14.9688574628969
