"SpeciesName","TraitName","value"
"Abies omorika","Plant growth form",NA
"Acer nikoense","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",20.3334722525419
"Acer nikoense","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.341741253
"Acer nikoense","Leaf thickness",0.141
"Acer nikoense","Plant growth form",NA
"Acer nikoense","Plant height vegetative",5
"Acer nikoense Maxim.","Plant height vegetative",20
"Acetosella acetosella","Plant growth form",NA
"Acetosella corniculata","Plant growth form",NA
"Acetosella tenuifolia","Plant growth form",NA
"Acetosella vulgaris","Plant growth form",NA
"Acomastylis calthifolia","Plant growth form",NA
"Adamsia scilloides","Plant growth form",NA
"Adenolinum grandiflorum","Plant growth form",NA
"Agaloma marginata","Plant growth form",NA
"Agropyron elongatiforme","Plant growth form",NA
"Agropyron inerme","Plant growth form",NA
"Agropyron molle","Plant growth form",NA
"Agropyron repens","Dispersal syndrome",NA
"Agropyron repens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",25.3645318189776
"Agropyron repens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",17.1379605826907
"Agropyron repens","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",19.4704551858421
"Agropyron repens","Leaf thickness",0.15275
"Agropyron repens","Plant growth form",NA
"Agropyron repens","Plant height vegetative",0.466583333333333
"Agropyron repens (L.) Beauv.","Dispersal syndrome",NA
"Agropyron smithii","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",21.05
"Agropyron smithii","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.8538878308579
"Agropyron smithii","Leaf thickness",0.233703703777778
"Agropyron smithii","Plant growth form",NA
"Agropyron smithii","Plant height generative",0.58
"Agropyron smithii","Plant height vegetative",0.6388888889
"Agropyron smithii Rydb.","Plant growth form",NA
"Agropyron spicatum","Leaf thickness",0.0975
"Agropyron spicatum","Plant growth form",NA
"Agropyron spicatum","Plant height generative",0.5255
"Agropyron spicatum","Plant height vegetative",0.355
"Agropyron spicatum (Pursh) Scribn. & Sm.","Plant growth form",NA
"Agropyron vaillantianum","Plant growth form",NA
"Agropyron vaseyi","Plant growth form",NA
"Agrostemma coronaria","Plant growth form",NA
"Agrostis alba","Dispersal syndrome",NA
"Agrostis alba","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",30.9798461538462
"Agrostis alba","Plant growth form",NA
"Agrostis alba","Plant height vegetative",0.418047619047619
"Agrostis cryptandra","Plant growth form",NA
"Aira caerulea","Plant growth form",NA
"Aira spicata","Plant growth form",NA
"Alopecurus monspeliensis","Plant growth form",NA
"Alsine graminea","Plant growth form",NA
"Alsine humifusa","Plant growth form",NA
"Alsine longifolia","Plant growth form",NA
"Alsine longipes","Plant growth form",NA
"Alsine media","Plant growth form",NA
"Alsine palmeri","Plant growth form",NA
"Alsine validus","Plant growth form",NA
"Alyssum maritimum","Plant growth form",NA
"Alyssum minimum","Plant growth form",NA
"Amarella plebeja","Plant growth form",NA
"Amarella scopulorum","Plant growth form",NA
"Amarella strictiflora","Plant growth form",NA
"Ambrina ambrosioides","Plant growth form",NA
"Ampelopsis hederacea","Plant growth form",NA
"Ampelopsis latifolia","Plant growth form",NA
"Ampelopsis quinquefolia","Plant growth form",NA
"Ampelopsis tricuspidata","Plant growth form",NA
"Amygdalus dulcis","Plant growth form",NA
"Anacharis canadensis","Plant growth form",NA
"Anacharis densa","Plant growth form",NA
"Anacharis occidentalis","Plant growth form",NA
"Anacharis planchonii","Plant growth form",NA
"Anacheilium cochleatum","Plant growth form",NA
"Andromeda racemosa","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",20.833333333
"Andromeda racemosa","Leaf thickness",0.19
"Andromeda racemosa","Plant growth form",NA
"Andropogon nutans","Plant growth form",NA
"Anomatheca laxa","Plant growth form",NA
"Anredera scandens","Plant growth form",NA
"Anthopogon crinitum","Plant growth form",NA
"Anthopogon tonsum","Plant growth form",NA
"Apalanthe schweinitzii","Plant growth form",NA
"Apargia autumnalis","Plant growth form",NA
"Arabidopsis glauca","Plant growth form",NA
"Arabidopsis salsuginea","Plant growth form",NA
"Arabis glabra","Dispersal syndrome",NA
"Arabis glabra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",30.274
"Arabis glabra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",26.65
"Arabis glabra","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",31.0775
"Arabis glabra","Plant growth form",NA
"Arabis glabra","Plant height generative",0.735
"Arabis glabra","Plant height vegetative",0.685769230769231
"Arabis glabra","Plant reproductive phenology timing",NA
"Arenaria diffusa","Plant growth form",NA
"Arenaria lateriflora","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",53.1278
"Arenaria lateriflora","Plant growth form",NA
"Arenaria peploides","Plant growth form",NA
"Aronia prunifolia","Plant growth form",NA
"Arundinaria japonica","Dispersal syndrome",NA
"Arundinaria japonica","Plant growth form",NA
"Arundo festucacea","Plant growth form",NA
"Asperula odorata","Dispersal syndrome",NA
"Asperula odorata","Plant growth form",NA
"Asperula odorata L.","Dispersal syndrome",NA
"Aster acuminatus","Dispersal syndrome",NA
"Aster acuminatus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",45.6
"Aster acuminatus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",45.6
"Aster acuminatus","Leaf thickness",0.11
"Aster acuminatus","Plant growth form",NA
"Aster acuminatus Michx.","Dispersal syndrome",NA
"Aster asperifolius","Plant growth form",NA
"Aster bellidiflorus","Plant growth form",NA
"Aster borealis","Plant growth form",NA
"Aster brachyactis","Plant growth form",NA
"Aster bracteolatus","Plant growth form",NA
"Aster chilensis","Plant growth form",NA
"Aster chilensis Nees","Plant growth form",NA
"Aster chlorolepis","Plant growth form",NA
"Aster ciliolatus","Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",16.88580171
"Aster ciliolatus","Leaf thickness",0.343333333
"Aster ciliolatus","Plant growth form",NA
"Aster claviger","Plant growth form",NA
"Aster concinnus","Plant growth form",NA
"Aster conspicuus","Plant growth form",NA
"Aster cordalenus","Plant growth form",NA
"Aster corrigiatus","Plant growth form",NA
"Aster diversifolius","Plant growth form",NA
"Aster douglasii","Plant growth form",NA
